MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2024-07,Penshurst Station,Train,Entry,68024
2024-07,Petersham Station,Train,Exit,76822
2024-07,Petersham Station,Train,Entry,76998
2024-07,Picton Station,Train,Exit,2954
2024-07,Picton Station,Train,Entry,3372
2024-07,Point Clare Station,Train,Exit,2977
2024-07,Point Clare Station,Train,Entry,3560
2024-07,Port Kembla North Station,Train,Exit,215
2024-07,Port Kembla North Station,Train,Entry,242
2024-07,Port Kembla Station,Train,Exit,1359
2024-07,Port Kembla Station,Train,Entry,1579
2024-07,Punchbowl Station,Train,Exit,49173
2024-07,Punchbowl Station,Train,Entry,52660
2024-07,Pymble Station,Train,Exit,40791
2024-07,Pymble Station,Train,Entry,44023
2024-07,Quakers Hill Station,Train,Exit,58803
2024-07,Quakers Hill Station,Train,Entry,65034
2024-07,Redfern Station,Train,Exit,649389
2024-07,Redfern Station,Train,Entry,606040
2024-07,Regents Park Station,Train,Exit,26710
2024-07,Regents Park Station,Train,Entry,27422
2024-07,Revesby Station,Train,Exit,106325
2024-07,Revesby Station,Train,Entry,107635
2024-07,Rhodes Station,Train,Exit,233975
2024-07,Rhodes Station,Train,Entry,236260
2024-07,Richmond Station,Train,Exit,16069
2024-07,Richmond Station,Train,Entry,18160
2024-07,Riverstone Station,Train,Exit,29719
2024-07,Riverstone Station,Train,Entry,32780
2024-07,Riverwood Station,Train,Exit,74050
2024-07,Riverwood Station,Train,Entry,77852
2024-07,Rockdale Station,Train,Exit,227756
2024-07,Rockdale Station,Train,Entry,235786
2024-07,Rooty Hill Station,Train,Exit,82553
2024-07,Rooty Hill Station,Train,Entry,85588
2024-07,Roseville Station,Train,Exit,55765
2024-07,Roseville Station,Train,Entry,59683
2024-07,Rouse Hill Station,Metro,Exit,98355
2024-07,Rouse Hill Station,Metro,Entry,94426
2024-07,Rydal Station,Train,Exit,Less than 50
2024-07,Rydal Station,Train,Entry,Less than 50
2024-07,Rydalmere Station,Train,Exit,1702
2024-07,Rydalmere Station,Train,Entry,1585
2024-07,Sandgate Station,Train,Exit,297
2024-07,Sandgate Station,Train,Entry,339
2024-07,Scarborough Station,Train,Exit,324
2024-07,Scarborough Station,Train,Entry,220
2024-07,Schofields Station,Train,Exit,108019
2024-07,Schofields Station,Train,Entry,113810
2024-07,Scone Station,Train,Exit,185
2024-07,Scone Station,Train,Entry,244
2024-07,Sefton Station,Train,Exit,13822
2024-07,Sefton Station,Train,Entry,15800
2024-07,Seven Hills Station,Train,Exit,138574
2024-07,Seven Hills Station,Train,Entry,144426
2024-07,Shellharbour Junction Station,Train,Exit,3443
2024-07,Shellharbour Junction Station,Train,Entry,4027
2024-07,Singleton Station,Train,Exit,467
2024-07,Singleton Station,Train,Entry,506
2024-07,Springwood Station,Train,Exit,19987
2024-07,Springwood Station,Train,Entry,20765
2024-07,St James Station,Train,Exit,219176
2024-07,St James Station,Train,Entry,198883
2024-07,St Leonards Station,Train,Exit,353798
2024-07,St Leonards Station,Train,Entry,349818
2024-07,St Marys Station,Train,Exit,103185
2024-07,St Marys Station,Train,Entry,104776
2024-07,St Peters Station,Train,Exit,72342
2024-07,St Peters Station,Train,Entry,78109
2024-07,Stanmore Station,Train,Exit,64985
2024-07,Stanmore Station,Train,Entry,70263
2024-07,Stanwell Park Station,Train,Exit,1063
2024-07,Stanwell Park Station,Train,Entry,1062
2024-07,Strathfield Station,Train,Exit,569453
2024-07,Strathfield Station,Train,Entry,579656
2024-07,Summer Hill Station,Train,Exit,74440
2024-07,Summer Hill Station,Train,Entry,79750
2024-07,Sutherland Station,Train,Exit,159158
2024-07,Sutherland Station,Train,Entry,158571
2024-07,Sydenham Station,Train,Exit,180956
2024-07,Sydenham Station,Train,Entry,183603
2024-07,Tahmoor Station,Train,Exit,3386
2024-07,Tahmoor Station,Train,Entry,3685
2024-07,Tallawong Station,Metro,Exit,113517
2024-07,Tallawong Station,Metro,Entry,120851
2024-07,Tallong Station,Train,Exit,Less than 50
2024-07,Tallong Station,Train,Entry,Less than 50
2024-07,Tarana Station,Train,Exit,77
2024-07,Tarana Station,Train,Entry,99
2024-07,Tarro Station,Train,Exit,103
2024-07,Tarro Station,Train,Entry,111
2024-07,Tascott Station,Train,Exit,1895
2024-07,Tascott Station,Train,Entry,2425
2024-07,Telarah Station,Train,Exit,1873
2024-07,Telarah Station,Train,Entry,2265
2024-07,Telopea Station,Train,Exit,2438
2024-07,Telopea Station,Train,Entry,2840
2024-07,Tempe Station,Train,Exit,30865
2024-07,Tempe Station,Train,Entry,32768
2024-07,Teralba Station,Train,Exit,1031
2024-07,Teralba Station,Train,Entry,1169
2024-07,Thirroul Station,Train,Exit,17912
2024-07,Thirroul Station,Train,Entry,18912
2024-07,Thornleigh Station,Train,Exit,34695
2024-07,Thornleigh Station,Train,Entry,36368
2024-07,Thornton Station,Train,Exit,4009
2024-07,Thornton Station,Train,Entry,4752
2024-07,Toongabbie Station,Train,Exit,64194
2024-07,Toongabbie Station,Train,Entry,66798
2024-07,Town Hall Station,Train,Exit,2175607
2024-07,Town Hall Station,Train,Entry,2260034
2024-07,Towradgi Station,Train,Exit,1162
2024-07,Towradgi Station,Train,Entry,1427
2024-07,Tuggerah Station,Train,Exit,25511
2024-07,Tuggerah Station,Train,Entry,26598
2024-07,Turramurra Station,Train,Exit,76257
2024-07,Turramurra Station,Train,Entry,79363
2024-07,Turrella Station,Train,Exit,24636
2024-07,Turrella Station,Train,Entry,26958
2024-07,Unanderra Station,Train,Exit,7335
2024-07,Unanderra Station,Train,Entry,8495
2024-07,Valley Heights Station,Train,Exit,1101
2024-07,Valley Heights Station,Train,Entry,1187
2024-07,Victoria Street Station,Train,Exit,4805
2024-07,Victoria Street Station,Train,Entry,5238
2024-07,Villawood Station,Train,Exit,11838
2024-07,Villawood Station,Train,Entry,12379
2024-07,Vineyard Station,Train,Exit,3834
2024-07,Vineyard Station,Train,Entry,4112
2024-07,Wahroonga Station,Train,Exit,36155
2024-07,Wahroonga Station,Train,Entry,37559
2024-07,Waitara Station,Train,Exit,59092
2024-07,Waitara Station,Train,Entry,61463
2024-07,Wallarobba Station,Train,Exit,Less than 50
2024-07,Wallarobba Station,Train,Entry,Less than 50
2024-07,Warabrook Station,Train,Exit,3770
2024-07,Warabrook Station,Train,Entry,3891
2024-07,Waratah Station,Train,Exit,3075
2024-07,Waratah Station,Train,Entry,3406
2024-07,Warnervale Station,Train,Exit,4870
2024-07,Warnervale Station,Train,Entry,5570
2024-07,Warrawee Station,Train,Exit,16164
2024-07,Warrawee Station,Train,Entry,17288
2024-07,Warrimoo Station,Train,Exit,2418
2024-07,Warrimoo Station,Train,Entry,2645
2024-07,Warwick Farm Station,Train,Exit,52592
2024-07,Warwick Farm Station,Train,Entry,58084
2024-07,Waterfall Station,Train,Exit,6731
2024-07,Waterfall Station,Train,Entry,6835
2024-07,Waverton Station,Train,Exit,42072
2024-07,Waverton Station,Train,Entry,47382
2024-07,Wentworth Falls Station,Train,Exit,7378
2024-07,Wentworth Falls Station,Train,Entry,7365
2024-07,Wentworthville Station,Train,Exit,88138
2024-07,Wentworthville Station,Train,Entry,92435
2024-07,Werrington Station,Train,Exit,26160
2024-07,Werrington Station,Train,Entry,29247
2024-07,West Ryde Station,Train,Exit,111179
2024-07,West Ryde Station,Train,Entry,112055
2024-07,Westmead Station,Train,Exit,153824
2024-07,Westmead Station,Train,Entry,164535
2024-07,Wiley Park Station,Train,Exit,31701
2024-07,Wiley Park Station,Train,Entry,37069
2024-07,Windsor Station,Train,Exit,16940
2024-07,Windsor Station,Train,Entry,17321
2024-07,Wingello Station,Train,Exit,Less than 50
2024-07,Wingello Station,Train,Entry,58
